文章序號,文章標題,關鍵字,TF (本篇次數),DF (幾篇有它),IDF (稀有度),TF-IDF (最終分數)
1,1.25兆國防特別預算為台美軍售建案，計畫分8年執行。條例草案尚未進入實質審查,預算,46,39,3.6174,0.5787
1,1.25兆國防特別預算為台美軍售建案，計畫分8年執行。條例草案尚未進入實質審查,特別,31,76,2.9625,0.3194
1,1.25兆國防特別預算為台美軍售建案，計畫分8年執行。條例草案尚未進入實質審查,國防,19,28,3.939,0.2603
1,1.25兆國防特別預算為台美軍售建案，計畫分8年執行。條例草案尚未進入實質審查,戰力,10,2,6.2077,0.2159
1,1.25兆國防特別預算為台美軍售建案，計畫分8年執行。條例草案尚未進入實質審查,編列,13,22,4.1708,0.1886
1,1.25兆國防特別預算為台美軍售建案，計畫分8年執行。條例草案尚未進入實質審查,條例,13,39,3.6174,0.1635
1,1.25兆國防特別預算為台美軍售建案，計畫分8年執行。條例草案尚未進入實質審查,草案,9,11,4.8214,0.1509
1,1.25兆國防特別預算為台美軍售建案，計畫分8年執行。條例草案尚未進入實質審查,明年,8,9,5.0037,0.1392
1,1.25兆國防特別預算為台美軍售建案，計畫分8年執行。條例草案尚未進入實質審查,明年度,6,1,6.6131,0.138
1,1.25兆國防特別預算為台美軍售建案，計畫分8年執行。條例草案尚未進入實質審查,通過,12,59,3.2119,0.134
2,10多年前的舊照片被說成近期詐騙案,高雄,13,28,3.939,0.426
2,10多年前的舊照片被說成近期詐騙案,詐騙,13,124,2.478,0.268
2,10多年前的舊照片被說成近期詐騙案,2014年,7,16,4.4731,0.2605
2,10多年前的舊照片被說成近期詐騙案,報案,7,16,4.4731,0.2605
2,10多年前的舊照片被說成近期詐騙案,集團,8,42,3.5451,0.236
2,10多年前的舊照片被說成近期詐騙案,名畫黨,4,1,6.6131,0.2201
2,10多年前的舊照片被說成近期詐騙案,接獲,7,36,3.6954,0.2152
2,10多年前的舊照片被說成近期詐騙案,警方,7,36,3.6954,0.2152
2,10多年前的舊照片被說成近期詐騙案,圖卡,6,52,3.336,0.1665
2,10多年前的舊照片被說成近期詐騙案,敲詐,3,2,6.2077,0.1549
3,114年防檢署防疫宣傳預算被刪6成,預算,55,39,3.6174,0.5443
3,114年防檢署防疫宣傳預算被刪6成,防疫,29,14,4.5982,0.3648
